Part,MayOrders,MayUnits,MaySellerRevenue,MayProcurementCost,MayGross,MayAvgSellerNet,MayAvgCost,MayMargin
3T-W,1,1,59.5,43.0,12.93,59.5,43.0,0.2173109243697479
4T-Kayak,6,6,749.0,450.0,254.06,124.83333333333333,75.0,0.3391989319092123
5T-1830-1200,2,2,238.0,136.0,87.72,119.0,68.0,0.36857142857142855
5T-1830-900,2,2,151.3,90.0,52.22,75.65,45.0,0.34514210178453403
5T-1980-1200,5,5,534.0,300.0,201.96,106.8,60.0,0.37820224719101125
6T-2095-122,1,1,135.0,70.0,56.9,135.0,70.0,0.42148148148148146
LFC-2B,6,6,729.0,452.40000000000003,232.86,121.5,75.4,0.3194238683127572
LFC-2B-680,11,11,1182.0,706.2,404.88,107.45454545454545,64.2,0.3425380710659898
LFC-2W,1,1,121.5,75.4,38.81,121.5,75.4,0.3194238683127572
LFC-2W-680,1,1,102.0,64.2,31.68,102.0,64.2,0.31058823529411766
LFC-3B,1,1,131.75,90.48,33.37,131.75,90.48,0.2532827324478178
LFC-3W,1,1,139.5,90.94,40.19,139.5,90.94,0.2881003584229391
LFC-4B,1,1,170.0,113.22,46.58,170.0,113.22,0.27399999999999997
LFC-5B,1,1,207.0,145.0,49.58,207.0,145.0,0.2395169082125604
MFC-D2-B,1,1,99.0,70.0,23.06,99.0,70.0,0.2329292929292929
MFC-D2-W,6,6,594.0,420.0,138.35999999999999,99.0,70.0,0.2329292929292929
MFC-D3-B,4,4,378.0,272.0,83.32,94.5,68.0,0.2204232804232804
MFC-D3-W,4,4,378.0,272.0,83.32,94.5,68.0,0.2204232804232804
VF-ZH-4B,2,2,333.0,230.0,83.02,166.5,115.0,0.2493093093093093
VFC-3B,4,4,426.0,283.6,116.84,106.5,70.9,0.2742723004694836
VFC-4B,1,1,119.0,87.3,24.56,119.0,87.3,0.20638655462184874
